school,clean_name,clean_city,clean_state,category
"Wilbraham & Monson, MA","Wilbraham & Monson",NULL,MA,high_school
"Legion Collegiate Academy",NULL,NULL,NULL,high_school
"Lakeway Christian Academy",NULL,NULL,NULL,high_school
"Lipscomb Academy, TN","Lipscomb Academy",NULL,TN,high_school
"Daniel Boone, TN","Daniel Boone",NULL,TN,high_school
"Lake Central",NULL,NULL,NULL,high_school
Hardaway,NULL,NULL,NULL,high_school
"Frederick, MD",Frederick,NULL,MD,high_school
"Crispus Attucks, IN","Crispus Attucks",NULL,IN,high_school
Eastern,NULL,NULL,NULL,high_school
"American Heritage, FL","American Heritage",NULL,FL,high_school
Chiawana,NULL,NULL,NULL,high_school
"Woodward Academy",NULL,NULL,NULL,high_school
"Beaver Dam",NULL,NULL,NULL,high_school
"Tabor Academy",NULL,NULL,NULL,high_school
Norview,NULL,NULL,NULL,high_school
"Divine Savior Holy Angels",NULL,NULL,NULL,high_school
Cedarburg,NULL,NULL,NULL,high_school
"Saddle River Day School",NULL,NULL,NULL,high_school
"Grayson, GA",Grayson,NULL,GA,high_school
"Peoria Notre Dame",NULL,NULL,NULL,high_school
SHS,NULL,NULL,NULL,high_school
"Immaculate Conception",NULL,NULL,NULL,high_school
"Manchester, VA",Manchester,NULL,VA,high_school
"Smithson Valley",NULL,NULL,NULL,high_school
"Liberty Christian, CA","Liberty Christian",NULL,CA,high_school
"Bishop McNamara",NULL,NULL,NULL,high_school
"Apex Friendship",NULL,NULL,NULL,high_school
Orange,NULL,NULL,NULL,high_school
Claremore,NULL,NULL,NULL,high_school
DeSoto,NULL,NULL,NULL,high_school
"Dr Phillips, FL","Dr Phillips",NULL,FL,high_school
"Benson Polytechnic, OR","Benson Polytechnic",NULL,OR,high_school
"Winter Haven",NULL,NULL,NULL,high_school
"Blue Valley North, KS","Blue Valley North",NULL,KS,high_school
"Notre Dame Academy",NULL,NULL,NULL,high_school
"Notre Dame Academy, WI","Notre Dame Academy",NULL,WI,high_school
"Ursuline Academy",NULL,NULL,NULL,high_school
"Cass Tech, MI","Cass Tech",NULL,MI,high_school
"Raymond, Alberta",Raymond,NULL,Alberta,high_school
Hamilton,NULL,NULL,NULL,high_school
"Providence Day, NC","Providence Day",NULL,NC,high_school
"Sacred Heart, KY","Sacred Heart",NULL,KY,high_school
"St JOSEPH by the Sea",NULL,NULL,NULL,high_school
Benson,NULL,NULL,NULL,high_school
Banneker,NULL,NULL,NULL,high_school
"South Seminole Academy",NULL,NULL,NULL,high_school
"Holy Innocents, GA","Holy Innocents",NULL,GA,high_school
"Rockdale County",NULL,NULL,NULL,high_school
"Booker T Washington",NULL,NULL,NULL,high_school
"Cypress Spings, TX","Cypress Spings",NULL,TX,high_school
"Desert Vista, AZ","Desert Vista",NULL,AZ,high_school
"Elite Prep, WA","Elite Prep",NULL,WA,high_school
"Christ the King, NY","Christ the King",NULL,NY,high_school
"Grandview, CO",Grandview,NULL,CO,high_school
Garfield,NULL,NULL,NULL,high_school
"Clackamas, OR",Clackamas,NULL,OR,high_school
"Valor Christian, GA","Valor Christian",NULL,GA,high_school
"Cherry Creek, CO","Cherry Creek",NULL,CO,high_school
"Independence, NC",Independence,NULL,NC,high_school
"The Burlington School",NULL,NULL,NULL,high_school
Franklinton,NULL,NULL,NULL,high_school
"bedford, NH",bedford,NULL,NH,high_school
"Faith Family Academy, TX","Faith Family Academy",NULL,TX,high_school
"Sandia, NM",Sandia,NULL,NM,high_school
"Mount Paran Christian, GA","Mount Paran Christian",NULL,GA,high_school
"St James",NULL,NULL,NULL,high_school
"Grace Christian, NC","Grace Christian",NULL,NC,high_school
"Good Counsel, MD","Good Counsel",NULL,MD,high_school
"Edmond Memorial, OK","Edmond Memorial",NULL,OK,high_school
"Hutchison, TN",Hutchison,NULL,TN,high_school
"Blue Valley",NULL,NULL,NULL,high_school
