id,school_name,city,state
431,"FD Reitz, IN",Newburgh,IN
432,"Westerville South, OH",Columbus,OH
433,"HEA, MI","Farmington Hills",MI
434,"Belleville, MI",Canton,MI
435,"Western Reserve, OH",Dayton,OH
436,"Streetsboro, OH",Streetsboro,OH
437,Louisville,Louisville,OH
438,"Arrowhead, WI",Hartland,WI
439,"The Rivers School",Attleboro,MA
440,"Flandreau Public",Egan,SD
441,"Ursuline Acdemy of Dallas",Plano,TX
442,"Hartford Union, WI",Lomira,WI
443,"McFarland, WI","McFarland, WI",WI
444,"Wayzata, MN",Plymouth,MN
445,"Home School",Woodbury,MN
446,"Providence Academy, MN",Wayzata,MN
447,"Orono, MN",Independence,MN
448,"St Peter","St Peter",MN
449,"Minnetonka, MN",Farmington,MN
450,"Mount Vernon, IA","Cedar Rapids",IA
451,"Jefferson, SD","Sioux Falls",SD
452,"Hill City","Rapid City",SD
453,"Mount Vernon, SD","Mount Vernon",SD
454,"Rolling Meadows, IL","ARLINGTON Heights",IL
455,Tri-Cities,Riverdale,GA
456,"CR Xavier","Cedar Rapids",IA
457,"Cartersville, GA",Cartersville,GA
458,Deerfield,Deerfield,IL
459,"Whitley County",Williamsburg,KY
460,"Marist, GA",Atlanta,GA
461,"Camden-Fairview, AR",,AR
462,"Corydon Central, IN",Elizabeth,IN
463,"Crosby Ironton, MN",Crosby,MN
464,"Johnston, IA",Johnston,IA
465,"Bishop Ireton",Washington,DC
466,"Montverde Academy, FL",Shakopee,MN
467,"Hortonville, WI",Greenville,WI
468,"Millard West, NE",Millard,NE
469,"Lincoln Northeast",Lincoln,NE
470,"Cripus Attucks, IN",Indianapolis,IN
471,Spring-Ford,Collegeville,PA
472,"Whitney, CA",Rocklin,CA
473,"IMG Academy, FL","Toronto,Ontario Canada",Country
474,Millbrook,Millbrook,NY
475,Hebron,Carrollton,TX
476,"St. Mary's, CA",Stockton,CA
477,"Arapahoe, CO",Littleton,CO
478,"Holy Cross Prep Academy",Delran,NJ
479,"Nooksack Valley, WA",,WA
480,"Bishop Mieve",DeSoto,KS
481,Baldwin,Baldwin,GA
482,"St. John's College, MD",Washington,DC
483,"Bishop McNamara, MD",,MD
484,"Sparrows Point, MD",Baltimore,MD
485,"Bishop McNamara, MD","District Heights",MD
486,"Bullis, MD",,MD
487,"Wesleyan, GA",Lovejoy,GA
488,"Princeton, OH",Leesburg,OH
489,"Palm Bay, FL","Palm Bay",FL
490,"Butler College Prep, IL",Chicago,IL
491,"West Des Moines","Des Moines",IA
492,"North Polk",Alleman,IA
493,"Skutt Catholic",Blair,NE
494,"Pickerington Ridgeview",Pickerington,OH
495,"DME Academy, FL",Chicago,IL
496,"Mueller Park MS",,CO
497,"Princess Anne",,VA
498,"Etiwanda, CA","Las Vegas",NV
499,Trinity,,VA
500,"Kellam, VA",,VA
501,"Bishop Ireton, VA",Accokeek,MD
502,Wallkill,Wallkill,NY
503,"Solon, IA",Solon,IA
504,"Elkhorn North, NE",Elkhorn,NE
505,"Charlotte Catholic, NC",Charlotte,NC
506,"Archbishop Spalding",,MD
507,"West Cabarrus",Concord,NC
508,Pittsford,,MI
509,"St Francis",Suwanee,GA
510,"Davenport North, IA",Davenport,IA
511,"Morris Catholic, NJ",Paterson,NJ
512,"Wheeling Park",Wheeling,WV
513,"Our Lady of Lourdes, NY",Poughkeepsie,NY
514,"Union, WA",,AK
515,"Mt Vernon, IN",McCordsville,IN
516,"Rutherford, FL","Panama City",FL
517,Huntsville,Huntsville,AL
518,"Washington, IN","South Bend",IN
519,"Salpointe Catholic, AZ",Vail,AZ
520,"Good Counsel, MD",Odenton,MD
521,Winsdor,,CT
522,"York Institute",Jamestown,TN
523,609-551-5011,,PA
524,"Hazel Green, AL",Harvest,AL
525,Buckhorn,Huntsville,AL
526,"Duncanville, TX",Albuquerque,NM
527,"Tabor Academy, MA",Dedham,MA
528,"Wylie East, TX",Sachse,TX
529,"Hewitt-Trussville, AL",Trussville,AL
530,"Clovis West, CA",Fresno,CA
531,"Mansfield Timberview",Dallas,TX
532,Braswell,"Little Elm",TX
533,"Mercy Academy, KY",Elizabethtown,KY
534,"Hopkins, MN","Brooklyn Park",MN
535,DECA,Dayton,OH
536,"Panther Creek, NC","Fuquay Varina",NC
537,"Legacy Early College, SC",Waterloo,SC
538,"Bethlehem Central",Delmar,NY
539,"Wesleyan, GA",Stockbridge,GA
540,"Noble& Greenough",Boston,MA
541,"Putnam City West",Bethany,OK
542,"Hardin Jefferson, TX",China,TX
543,"Xavier Prep",Anthem,AZ
544,"Westmoore, OK","Oklahoma City",OK
545,"Summer Creek, TX",Humble,TX
546,Lancaster,Lancaster,TX
547,Sachse,Rowlett,TX
548,"Prestonwood Christian Acadmey, TX",Rowlett,TX
549,"Hamilton Southeastern, IN",Fishers,IN
550,"Northside Methodist School",Eufaula,AL
551,"Lancaster Central, NY","Lancaster, NY",NY
552,"Worcester Academy, MA",Worcester,MA
553,"Clarksville Christian, TN",Clarksville,TN
554,"Cypress Lakes, TX",Hockley,TX
555,"Washburn Rural",Topeka,KS
556,"Helias Catholic, MO","Jefferson City",MO
557,"Seven Lakes, TX",Katy,TX
558,"PAUL VI Catholic, VA",Ashburn,VA
559,"Bethany, OK","Oklahoma City",OK
560,"Oaks Christian, CA",Carpinteria,CA
561,"RCA, TN",Oakland,TN
562,"Clarksville, TN",Clarksville,TN
563,"Saddle River, NJ",Closter,NJ
564,"Booker T. Washington, OK",Tulsa,OK
565,"New Providence","New Providence",NJ
566,"St. Johns College, DC",Vienna,VA
567,"Archbishop Hoban",Akron,OH
568,"J.M. Robinson, NC",Mooresville,NC
569,"Tilton, NH",,NH
570,"Benilde St Margarets, MN","Brooklyn Park",MN
571,"Germantown, MS",Madison,MS
572,"Calvary  Christian Academy","South Daytona",FL
573,"Africentric, OH",Columbus,OH
574,"IMG Academy, FL",Bradenton,FL
575,"George Washington, WV",,WV
576,"Georgetown Visitation","Great Falls",VA
577,"College Station","College Station",TX
578,"Northview Academy",,TN
579,"Central Magnet, TN",Murfreesboro,TN
580,"Auburn, AL",Auburn,AL
581,Somerset,"Science Hill",KY
582,"South Bend Washington",Northwood,OH
583,"Bishop Kenny, FL",Jacksonville,FL
584,"McDonough, MD",Columbia,MD
585,"Kennedy Catholic",Sharon,PA
586,Pikeville,"Pikeville, KY",KY
587,"Blue Springs","Kansas City",MO
588,"GEORGE Washington","South Charleston",WV
589,MTCS,,TN
590,"Tea Area, SD",Tea,SD
591,"Kipp Spirit",Houston,TX
592,"Spring Branch",Houston,TX
593,Kountze,Kountze,TX
594,"Thompson Elementary",Houston,TX
